merchant,category,amt,gender,lat,long,city_pop,job,unix_time,merch_lat,merch_long,is_fraud
fraud_Deckow-O'Conner,grocery_pos,64.09,M,42.2203,-83.3583,31515,Police officer,1325377215,42.360426,-83.552316,0
fraud_Bruen-Yost,misc_pos,6.85,M,43.0172,-111.0292,471,"Education officer, museum",1325377292,43.753735,-111.454923,0
fraud_Kunze Inc,grocery_pos,90.22,M,20.0827,-155.488,4878,Physiotherapist,1325377326,19.560013,-156.045889,0
"fraud_Nitzsche, Kessler and Wolff",shopping_pos,4.02,M,42.8062,-100.6215,4005,Network engineer,1325377338,42.47559,-101.265846,0
"fraud_Kihn, Abernathy and Douglas",shopping_net,3.66,F,43.7575,-122.481,597,Forensic psychologist,1325377356,44.278191,-121.815161,0
"fraud_Heller, Gutmann and Zieme",grocery_pos,82.8,F,36.3846,-89.4649,5577,Geochemist,1325377359,36.294205,-89.81128199999999,0
fraud_Torphy-Goyette,shopping_pos,66.21,F,46.368,-87.9938,1038,Armed forces training and education officer,1325377364,46.412038,-88.516663,0
fraud_Balistreri-Nader,misc_pos,25.58,F,30.4066,-91.1468,378909,"Designer, furniture",1325377421,29.737426,-90.853194,0
"fraud_Bahringer, Schoen and Corkery",shopping_pos,9.03,M,38.9757,-77.0282,601723,"Optician, dispensing",1325377438,38.880898,-76.44111600000001,0
fraud_Hudson-Ratke,grocery_pos,99.0,M,37.1046,-83.5706,467,"Psychologist, forensic",1325377546,36.823545,-83.90104000000001,0
fraud_Heidenreich PLC,grocery_pos,207.36,F,40.6729,-73.5365,34496,"Librarian, public",1325377582,40.202538,-73.859212,0
fraud_Halvorson Group,misc_pos,181.35,F,32.153,-90.1217,19685,Fine artist,1325377665,31.939812,-90.726209,0
fraud_Harber Inc,gas_transport,82.22,F,40.5891,-75.4645,166081,"Scientist, research (maths)",1325377676,40.586238,-75.802249,0
"fraud_Mosciski, Gislason and Mertz",grocery_pos,221.81,F,40.8095,-72.8229,3285,"Research officer, trade union",1325377751,40.011959,-72.594808,0
"fraud_Christiansen, Goyette and Schamberger",gas_transport,53.6,F,39.7562,-98.4462,242,Tourism officer,1325377849,40.332519,-99.062962,0
fraud_Howe Ltd,misc_pos,54.02,F,42.3496,-73.5873,4015,Human resources officer,1325377861,42.041783,-73.076424,0
fraud_Ledner-Pfannerstill,gas_transport,102.13,F,38.9999,-109.615,46,"Surveyor, minerals",1325377911,39.807313,-109.348294,0
fraud_Lockman Ltd,grocery_pos,212.75,F,37.9931,-100.9893,2691,Arboriculturist,1325377935,38.862183,-101.234087,0
fraud_Koepp-Witting,grocery_pos,130.4,F,42.9385,-88.395,2328,Applications developer,1325377935,42.236269,-88.397336,0
fraud_Doyle Ltd,grocery_pos,91.16,M,27.5155,-99.4986,248858,Video editor,1325377967,27.588953000000004,-99.816911,0
"fraud_Schaefer, Maggio and Daugherty",gas_transport,55.78,M,34.4959,-86.259,5901,Curator,1325378031,35.255978000000006,-86.041872,0
fraud_Stracke-Lemke,grocery_pos,83.07,F,48.34,-122.3456,85,"Research officer, political party",1325378050,48.682111,-122.719904,0
"fraud_Mosciski, Ziemann and Farrell",shopping_net,4.38,F,39.5803,-87.4616,205,"Engineer, mining",1325378172,39.681736,-88.323862,0
fraud_Cartwright-Harris,grocery_pos,130.89,F,33.5567,-90.5451,1686,"Education officer, community",1325378218,33.595647,-90.234118,0
fraud_Pacocha-O'Reilly,grocery_pos,103.0,F,35.2087,-92.2123,969,"Physicist, medical",1325378238,35.034285,-92.34301,0
fraud_Pfeffer LLC,grocery_net,50.82,F,34.847,-98.9836,551,Amenity horticulturist,1325378362,34.852665,-98.90267,0
fraud_Huels-Hahn,gas_transport,60.77,M,45.7549,-84.447,95,Electrical engineer,1325378377,45.323099,-85.11654300000001,0
fraud_Volkman PLC,food_dining,122.86,M,32.7699,-96.743,1263321,Television camera operator,1325378383,32.282224,-97.46183,0
fraud_Kiehn-Emmerich,grocery_pos,212.45,F,30.8985,-87.1332,5719,Higher education careers adviser,1325378444,31.414174,-87.138632,0
fraud_Kemmer-Buckridge,misc_pos,7.33,F,43.0498,-78.851,45100,Ambulance person,1325378448,43.1763,-77.901777,0
fraud_Cummerata-Jones,gas_transport,70.53,M,45.8289,-118.4971,1302,Dealer,1325378450,46.043252,-117.962133,0
"fraud_Goldner, Kovacek and Abbott",grocery_pos,58.26,M,38.9583,-76.2842,5848,Paediatric nurse,1325378458,39.240962,-76.71273199999999,0
fraud_Spinka-Welch,grocery_net,50.45,M,41.8114,-93.4855,1195,Trading standards officer,1325378503,41.776673,-93.350689,0
fraud_Huel-Langworth,misc_net,177.57,F,38.9999,-109.615,46,"Surveyor, minerals",1325378505,38.419431,-109.380252,0
fraud_Macejkovic-Lesch,shopping_pos,8.57,F,31.6489,-82.1982,1324,"Engineer, technical sales",1325378546,32.023302,-82.58345,0
fraud_Corwin-Collins,gas_transport,56.66,M,44.5232,-86.2061,680,"Designer, jewellery",1325378618,44.00529,-86.25199,0
fraud_Morar Inc,grocery_net,75.34,F,39.2335,-77.1458,135332,Clinical biochemist,1325378660,38.817293,-77.83346800000001,0
"fraud_Eichmann, Bogan and Rodriguez",gas_transport,62.54,M,44.0575,-69.9656,3224,"Engineer, electronics",1325378683,43.585423,-70.449359,0
"fraud_Huel, Hammes and Witting",grocery_pos,92.84,F,48.2777,-112.8456,743,Water engineer,1325378713,49.080153,-113.53238,0
"fraud_Ferry, Lynch and Kautzer",misc_net,2.76,F,37.3304,-121.7913,973849,Science writer,1325378778,37.548452000000005,-121.536454,0
fraud_Heathcote LLC,shopping_net,101.35,M,46.3481,-87.0436,137,Film/video editor,1325378875,46.796891,-86.331091,0
fraud_Huel-Langworth,misc_net,303.47,F,36.7558,-83.1838,581,"Psychologist, counselling",1325378889,36.394203000000005,-82.51428299999999,0
"fraud_Little, Gutmann and Lynch",shopping_net,83.52,M,41.0233,-98.9041,2202,"Solicitor, Scotland",1325378965,40.992141,-98.831582,0
fraud_Torphy-Goyette,shopping_pos,9.97,M,38.6411,-100.138,269,Product/process development scientist,1325378971,38.075226,-99.138453,0
fraud_Jaskolski-Dibbert,grocery_net,16.16,F,39.8936,-79.7856,328,Tree surgeon,1325379053,39.222743,-78.839099,0
fraud_Hackett-Lueilwitz,grocery_pos,59.56,M,26.1184,-81.7361,276002,"Programme researcher, broadcasting/film/video",1325379177,25.801181,-82.351291,0
fraud_Cummings LLC,gas_transport,57.23,M,35.5762,-91.4539,111,Careers information officer,1325379305,36.144895,-92.188172,0
"fraud_Swaniawski, Lowe and Robel",shopping_pos,317.14,M,35.2563,-111.95,759,"Geologist, engineering",1325379372,35.268124,-112.682895,0
"fraud_Osinski, Ledner and Leuschke",grocery_pos,127.88,F,38.097,-86.1723,350,Counsellor,1325379404,38.860981,-86.77339599999999,0
"fraud_Reichert, Huels and Hoppe",shopping_net,113.4,M,43.0048,-108.8964,1645,Freight forwarder,1325379419,42.868965,-108.50335,0
fraud_Ankunding LLC,shopping_net,94.53,M,38.5095,-78.2638,395,Senior tax professional/tax inspector,1325379437,37.84676,-79.262334,0
fraud_Pfeffer and Sons,shopping_pos,1.82,M,30.9788,-84.7373,1461,"Engineer, broadcasting (operations)",1325379450,31.973466,-84.244731,0
"fraud_Greenholt, Jacobi and Gleason",gas_transport,75.77,M,42.2848,-71.7205,35299,English as a second language teacher,1325379482,42.889256,-71.88810699999999,0
fraud_Kunze Inc,grocery_pos,108.59,F,43.5336,-95.6515,399,Economist,1325379533,44.51103,-95.934394,0
fraud_Harris Inc,gas_transport,48.68,F,41.0472,-79.8089,139,Patent attorney,1325379565,40.237898,-79.89407299999999,0
"fraud_Connelly, Reichert and Fritsch",gas_transport,72.35,M,40.0113,-80.9701,128,Child psychotherapist,1325379619,39.308098,-81.698525,0
fraud_Howe Ltd,misc_pos,218.71,F,39.5994,-105.0044,320420,Water engineer,1325379648,39.335171,-104.102882,0
fraud_Torp-Labadie,gas_transport,52.59,F,44.3346,-73.098,4542,Claims inspector/assessor,1325379708,45.084808,-73.626071,0
fraud_Wolf Inc,grocery_pos,89.11,M,39.7795,-93.3014,964,Tourist information centre manager,1325379736,40.773306,-92.821257,0
fraud_VonRueden Group,grocery_net,89.35,F,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1325379773,44.630758,-87.12389399999999,0
fraud_Vandervort-Funk,grocery_pos,50.68,M,38.5677,-109.5271,9772,Location manager,1325379888,38.482541,-108.853856,0
fraud_Bernhard Inc,gas_transport,64.47,F,41.0472,-79.8089,139,Patent attorney,1325379966,40.068764,-79.826882,0
"fraud_Morissette, Weber and Wiegand",grocery_net,63.58,F,41.0935,-81.0425,2644,"Engineer, biomedical",1325379982,41.8136,-81.23076999999999,0
fraud_Brekke and Sons,gas_transport,81.85,F,34.0326,-82.2027,1523,Research scientist (physical sciences),1325380111,33.828472999999995,-81.642924,0
fraud_Mraz-Herzog,gas_transport,59.7,F,37.2876,-77.295,31970,Purchasing manager,1325380162,36.962777,-77.640054,0
fraud_Ledner-Pfannerstill,gas_transport,90.54,M,33.9143,-118.3493,93193,"Editor, magazine features",1325380181,32.990285,-117.836803,0
fraud_Padberg-Welch,grocery_pos,50.57,M,39.0298,-77.0793,19054,Operations geologist,1325380197,38.394608000000005,-76.437916,0
"fraud_Rippin, Kub and Mann",misc_net,3.79,F,40.6152,-74.415,71485,Leisure centre manager,1325380197,40.813669,-75.283465,0
fraud_Kutch-Hegmann,grocery_net,54.54,M,39.3426,-114.8859,450,Interpreter,1325380216,38.69322,-115.87599,0
fraud_Corwin-Gorczany,misc_net,3.35,F,41.4768,-95.3509,2036,Engineering geologist,1325380262,41.907592,-95.809232,0
fraud_Huels-Nolan,gas_transport,50.61,M,41.6858,-90.3706,1426,Agricultural consultant,1325380451,41.027284,-89.416172,0
fraud_Jaskolski-Dibbert,grocery_net,50.74,F,33.6372,-96.6184,46563,Systems developer,1325380451,34.266941,-96.709668,0
fraud_DuBuque LLC,grocery_pos,186.73,F,26.7383,-80.27600000000001,26551,Paramedic,1325380495,27.610009,-79.49811,0
fraud_Kutch-Hegmann,grocery_net,39.95,M,33.3398,-92.7442,2501,Financial adviser,1325380501,33.651123,-91.902918,0
fraud_Brekke and Sons,gas_transport,55.18,F,26.7383,-80.27600000000001,26551,Paramedic,1325380612,27.346033,-80.475563,0
"fraud_Mosciski, Gislason and Mertz",grocery_pos,92.99,M,40.1008,-80.0652,632,Dealer,1325380664,40.706082,-80.366274,0
fraud_Schmeler Inc,misc_pos,43.02,M,40.5662,-80.2099,1140,"Administrator, education",1325380690,41.419964,-79.957263,0
"fraud_Schaefer, McGlynn and Bosco",gas_transport,51.33,F,42.73,-104.7024,241,Educational psychologist,1325380742,42.508248,-105.34481,0
fraud_Williamson LLC,misc_pos,47.85,F,40.8295,-72.6473,3255,Financial trader,1325380753,40.712685,-72.124522,0
fraud_Pouros-Conroy,shopping_pos,9.23,F,40.7699,-73.9511,1577385,Audiological scientist,1325380850,41.395142,-74.887524,0
fraud_Erdman-Kertzmann,gas_transport,80.36,F,47.3551,-96.798,771,"Scientist, audiological",1325380910,46.60956,-96.630804,0
fraud_Kuhn LLC,misc_net,6.36,F,40.2367,-74.0067,1533,"Administrator, charities/voluntary organisations",1325380934,39.926556,-73.774415,0
fraud_Fisher-Schowalter,shopping_net,226.33,M,37.7773,-119.0825,633,Health service manager,1325380976,36.819789,-119.670559,0
fraud_Medhurst PLC,shopping_net,215.99,F,42.825,-124.4409,217,Retail merchandiser,1325380980,42.988724,-123.904978,0
fraud_Kerluke Inc,misc_net,1.47,F,40.4542,-98.6538,331,Telecommunications researcher,1325380997,41.14486,-99.38762,0
fraud_Stark-Batz,entertainment,5.83,F,31.571,-86.2743,2566,Exercise physiologist,1325381006,31.798954,-86.213243,0
"fraud_Gottlieb, Considine and Schultz",shopping_net,51.04,F,42.3066,-71.9202,4845,Accounting technician,1325381018,41.948237,-71.668538,0
fraud_Bauch-Raynor,grocery_pos,122.05,F,41.4193,-99.3844,73,Product designer,1325381030,41.609064,-99.650276,0
"fraud_Adams, Kovacek and Kuhlman",grocery_net,106.19,M,38.6476,-78.7717,4367,Waste management officer,1325381126,38.336898,-79.568795,0
"fraud_Huel, Hammes and Witting",grocery_pos,129.09,F,40.1151,-79.8627,427,Mining engineer,1325381163,40.92927,-79.548333,0
fraud_Grimes LLC,entertainment,7.06,F,37.2876,-77.295,31970,Purchasing manager,1325381302,37.426207,-76.502881,0
fraud_Rodriguez Group,gas_transport,61.71,F,35.8985,-97.2607,1493,Amenity horticulturist,1325381304,36.694647,-97.517515,0
fraud_Bernhard Inc,gas_transport,45.77,M,37.6848,-85.8784,48194,Surgeon,1325381421,36.687137,-85.278013,0
fraud_Bernhard Inc,gas_transport,61.0,F,42.6315,-75.1866,165,Naval architect,1325381446,43.123814,-75.05216899999999,0
fraud_Wuckert-Walter,grocery_net,38.7,M,40.7491,-95.038,7297,IT trainer,1325381502,39.880088,-94.193907,0
fraud_Weber and Sons,food_dining,98.24,F,31.4285,-90.8578,2799,"Therapist, horticultural",1325381513,30.906565000000004,-90.486622,0
"fraud_Herman, Treutel and Dickens",misc_net,3.66,F,40.6761,-91.0391,725,Environmental consultant,1325381548,40.7433,-90.088705,0
fraud_Halvorson Group,misc_pos,34.11,M,30.251,-92.5002,1261,Broadcast presenter,1325381551,30.474879,-91.588063,0
fraud_Rau and Sons,grocery_pos,134.66,F,44.0577,-76.0196,1271,"Producer, radio",1325381557,43.994486,-75.60383900000001,0
fraud_Kutch-Hegmann,grocery_net,55.6,M,41.8114,-93.4855,1195,Trading standards officer,1325381631,41.081282,-92.85909,0
fraud_Koss and Sons,gas_transport,58.79,F,44.0577,-76.0196,1271,"Producer, radio",1325381632,44.015435,-76.027125,0
fraud_Smitham-Schiller,grocery_net,57.43,F,40.8295,-72.6473,3255,Financial trader,1325381650,41.669034,-73.27160500000001,0
fraud_Hudson-Ratke,grocery_pos,83.81,F,36.9688,-78.5615,1970,Energy engineer,1325381665,36.822396000000005,-78.452392,0
fraud_Hills-Olson,grocery_net,27.03,M,38.577,-90.5255,92608,"Engineer, communications",1325381665,38.984909,-90.842219,0
fraud_Durgan-Auer,misc_net,23.8,F,40.7268,-124.2174,276,"Scientist, audiological",1325381766,40.110823,-124.429537,0
"fraud_Swaniawski, Lowe and Robel",shopping_pos,3.74,F,26.7197,-80.1248,459921,Historic buildings inspector/conservation officer,1325381808,26.192035,-80.03285699999999,0
fraud_McDermott-Rice,misc_pos,9.07,M,44.797,-73.5112,4778,Engineering geologist,1325381814,44.070021,-73.68845400000001,0
"fraud_Raynor, Reinger and Hagenes",gas_transport,64.72,F,36.8809,-82.0956,9521,"Teacher, English as a foreign language",1325381826,36.265214,-81.891953,0
fraud_Pacocha-O'Reilly,grocery_pos,92.56,F,32.5104,-86.8138,1089,Materials engineer,1325381826,33.347838,-86.819795,0
fraud_DuBuque LLC,grocery_pos,113.19,F,44.0577,-76.0196,1271,"Producer, radio",1325381840,44.465636,-75.525258,0
fraud_Powlowski-Weimann,food_dining,187.27,M,38.7894,-77.2818,43102,Health visitor,1325381911,38.301944,-76.507232,0
"fraud_Langosh, Wintheiser and Hyatt",food_dining,68.24,M,42.4657,-93.8262,9165,Medical secretary,1325381944,42.699989,-93.883915,0
"fraud_Baumbach, Hodkiewicz and Walsh",shopping_pos,636.41,M,39.2136,-95.4404,2661,Theatre director,1325382082,39.936995,-94.604311,0
fraud_Rempel Inc,shopping_net,500.92,F,33.3645,-81.2718,4913,Technical brewer,1325382084,34.3281,-81.727628,0
fraud_Pacocha-Bauch,shopping_pos,2.1,M,41.6125,-122.5258,589,Systems analyst,1325382099,41.096733,-122.623454,0
fraud_Bins-Rice,gas_transport,69.54,M,36.6403,-81.7776,3085,Land/geomatics surveyor,1325382165,35.906566,-82.096532,0
fraud_Emard Inc,gas_transport,84.23,F,37.9931,-100.9893,2691,Arboriculturist,1325382183,37.814677,-101.502441,0
fraud_Kutch and Sons,grocery_pos,117.77,M,31.1989,-81.3322,298,"Engineer, structural",1325382239,31.167024,-80.801294,0
fraud_Fisher Inc,shopping_net,5.61,F,33.0771,-99.959,932,"Physicist, medical",1325382292,32.715671,-100.074321,0
"fraud_Olson, Becker and Koch",gas_transport,71.74,M,42.4999,-74.6117,1666,Diagnostic radiographer,1325382292,43.392165000000006,-75.505542,0
fraud_Friesen-D'Amore,gas_transport,75.76,M,34.7789,-86.5438,190178,Television production assistant,1325382321,33.816815000000005,-86.429446,0
"fraud_Reilly, Heaney and Cole",gas_transport,83.1,F,41.2419,-81.7453,7646,Medical sales representative,1325382368,42.206551,-81.59184499999999,0
fraud_Boyer PLC,misc_pos,32.82,M,43.196000000000005,-72.3001,477,Naval architect,1325382400,42.348367,-72.68946700000001,0
fraud_Cummings LLC,gas_transport,57.5,F,43.3392,-75.7543,6460,Building control surveyor,1325382420,42.740793,-74.959902,0
"fraud_Adams, Kovacek and Kuhlman",grocery_net,53.87,F,37.0581,-86.1938,6841,"Therapist, sports",1325382429,36.784818,-86.36912199999999,0
fraud_Luettgen PLC,gas_transport,47.1,M,38.9757,-77.0282,601723,"Optician, dispensing",1325382546,38.863724,-77.122748,0
fraud_Boyer PLC,misc_pos,184.83,F,37.9931,-100.9893,2691,Arboriculturist,1325382575,37.392254,-101.332313,0
fraud_Cassin-Harvey,grocery_net,56.35,F,40.0369,-75.0664,1526206,Structural engineer,1325382577,39.220115,-74.711564,0
fraud_Funk Group,grocery_net,55.81,M,39.5723,-90.2379,1512,Commercial/residential surveyor,1325382626,39.575819,-90.149623,0
"fraud_Reilly, Heaney and Cole",gas_transport,67.91,F,40.7268,-124.2174,276,"Scientist, audiological",1325382631,41.137569,-123.63216,0
fraud_Luettgen PLC,gas_transport,75.82,M,28.1384,-80.6524,139650,Database administrator,1325382820,28.802621,-80.313624,0
fraud_Goodwin-Nitzsche,grocery_pos,123.14,M,30.251,-92.5002,1261,Broadcast presenter,1325382886,31.021036,-92.90296,0
fraud_Pacocha-Bauch,shopping_pos,8.34,M,43.0622,-77.2218,9565,Exhibition designer,1325383009,42.624988,-76.508987,0
"fraud_Parisian, Schiller and Altenwerth",misc_net,14.03,F,41.5744,-75.5881,6508,Training and development officer,1325383011,40.868184,-76.283066,0
fraud_Metz-Boehm,shopping_pos,1.46,M,42.32,-78.0943,1766,Mechanical engineer,1325383100,42.817788,-77.47053199999999,0
"fraud_Monahan, Bogisich and Ledner",misc_pos,10.26,F,40.732,-73.1,4056,Film/video editor,1325383163,40.711398,-73.523504,0
fraud_Koelpin and Sons,misc_net,3.67,F,33.357,-89.0473,1923,Medical physicist,1325383205,33.663412,-89.613292,0
fraud_Kuhic LLC,shopping_net,8.95,M,42.2619,-94.5566,695,Administrator,1325383211,42.658626,-94.486224,0
fraud_Koepp-Parker,grocery_pos,51.6,M,38.8954,-77.1633,207410,Mudlogger,1325383243,38.197108,-77.644807,0
fraud_DuBuque LLC,grocery_pos,204.72,F,44.9913,-92.9487,753116,Fisheries officer,1325383267,44.156171,-92.805728,0
"fraud_Stehr, Jewess and Schimmel",misc_net,4.47,F,33.0437,-81.7106,1100,"Conservator, museum/gallery",1325383296,32.826449,-82.00013100000001,0
"fraud_Quitzon, Green and Bashirian",shopping_pos,4.08,M,40.817,-74.0,13835,"Programmer, multimedia",1325383311,40.148746,-74.840312,0
"fraud_Nicolas, Hills and McGlynn",entertainment,145.75,M,42.958,-77.3083,10717,Cytogeneticist,1325383324,42.446162,-78.048599,0
fraud_Rodriguez Group,gas_transport,56.34,F,32.3836,-94.8653,24536,Multimedia programmer,1325383343,32.044628,-94.761666,0
fraud_Leannon-Ward,food_dining,31.8,M,32.3697,-81.3618,9034,"Therapist, occupational",1325383373,31.648009,-80.60297299999999,0
fraud_Friesen-Stamm,gas_transport,63.39,M,35.6069,-90.3359,2470,Counselling psychologist,1325383428,34.798873,-89.494405,0
fraud_Botsford Ltd,shopping_pos,8.29,F,32.6205,-94.2,2807,Chiropodist,1325383481,33.193514,-93.437407,0
fraud_Bradtke PLC,grocery_pos,78.13,M,39.4336,-91.0664,4593,"Teacher, early years/pre",1325383616,40.247129,-91.699005,0
"fraud_Zieme, Bode and Dooley",gas_transport,52.67,F,38.9621,-94.5959,545147,Counsellor,1325383693,39.662816,-93.712244,0
fraud_Hills-Witting,shopping_net,2.11,M,44.6255,-116.4493,129,Cartographer,1325383728,44.710102,-117.229968,0
fraud_Brown-Greenholt,entertainment,5.27,F,41.1901,-74.0436,9993,Pensions consultant,1325383812,41.788775,-74.471154,0
"fraud_Bernhard, Grant and Langworth",shopping_pos,1.42,F,41.4193,-99.3844,73,Product designer,1325383927,40.790587,-99.011834,0
fraud_Lockman Ltd,grocery_pos,104.08,M,41.0552,-110.1603,49,Research scientist (physical sciences),1325383968,41.677942,-110.829354,0
fraud_Metz-Boehm,shopping_pos,9.63,F,27.2625,-80.3793,181438,Primary school teacher,1325383972,26.456712,-79.74492099999999,0
fraud_Harber Inc,gas_transport,39.98,F,38.7897,-93.8702,2368,Electronics engineer,1325383996,38.995701,-93.569356,0
fraud_Bauch-Raynor,grocery_pos,192.82,F,38.8881,-104.6556,525713,Museum/gallery exhibitions officer,1325384043,39.299824,-103.854765,0
"fraud_Wiza, Schaden and Stark",misc_pos,34.76,M,39.3391,-95.0999,1442,Air broker,1325384081,38.78936,-95.405907,0
fraud_Buckridge PLC,misc_pos,9.5,F,33.9568,-81.1405,52126,Chemical engineer,1325384207,34.099428,-81.916669,0
fraud_Lockman Ltd,grocery_pos,182.1,F,38.6207,-83.8067,14228,Advertising account executive,1325384207,39.499829,-83.26249,0
fraud_Kilback LLC,grocery_pos,78.43,F,41.4768,-95.3509,2036,Engineering geologist,1325384266,42.465418,-95.211895,0
fraud_Spinka Inc,grocery_net,76.37,M,43.2326,-86.2492,128715,Historic buildings inspector/conservation officer,1325384432,44.036016,-86.754147,0
"fraud_Kerluke, Kertzmann and Wiza",misc_net,6.37,M,33.9143,-118.3493,93193,"Editor, magazine features",1325384448,34.108257,-117.549012,0
"fraud_Ferry, Reichel and DuBuque",grocery_net,28.37,M,32.8357,-79.8217,20478,Materials engineer,1325384456,33.791152000000004,-80.788125,0
fraud_Price Inc,shopping_net,5.82,F,29.9975,-90.2146,137067,Advertising account planner,1325384464,29.471413,-91.074361,0
"fraud_Johnston, Nikolaus and Maggio",grocery_net,41.01,F,39.8127,-120.6405,1725,Chartered legal executive (England and Wales),1325384503,39.949197,-119.792299,0
fraud_Harber Inc,gas_transport,70.56,F,37.0462,-76.4096,136895,Accounting technician,1325384551,37.005252,-76.395765,0
fraud_Berge LLC,gas_transport,57.64,F,36.3924,-91.9932,1679,Psychiatric nurse,1325384566,36.502461,-92.210445,0
fraud_Conroy-Cruickshank,gas_transport,119.47,M,41.141000000000005,-84.5722,6284,Secondary school teacher,1325384574,41.746779,-84.601964,0
fraud_Rau and Sons,grocery_pos,117.29,M,31.6453,-90.1801,1196,"Librarian, academic",1325384617,32.035674,-89.835532,0
fraud_Abshire PLC,entertainment,65.05,M,42.0789,-92.3763,590,"Embryologist, clinical",1325384621,41.388862,-91.844621,0
fraud_Huels-Hahn,gas_transport,61.99,M,39.5483,-119.7957,276896,Immunologist,1325384774,38.573952,-120.084189,0
fraud_Torp-Labadie,gas_transport,49.53,M,43.0172,-111.0292,471,"Education officer, museum",1325384776,43.038723,-111.821595,0
fraud_Funk Group,grocery_net,54.47,M,42.728,-71.181,47249,Market researcher,1325384878,42.114749,-70.460861,0
fraud_Gleason-Macejkovic,shopping_net,6.05,F,41.6983,-70.3001,1850,Counselling psychologist,1325384904,41.767862,-69.37527,0
fraud_Doyle Ltd,grocery_pos,157.07,M,36.0434,-90.2907,1120,Television floor manager,1325384931,35.632995,-89.589641,0
"fraud_Schaefer, Maggio and Daugherty",gas_transport,59.19,F,41.4802,-86.6919,1423,"Psychologist, forensic",1325384965,41.537215,-86.095249,0
fraud_McDermott-Rice,misc_pos,13.67,F,38.9621,-94.5959,545147,Counsellor,1325385066,38.058492,-94.687196,0
fraud_Spinka Inc,grocery_net,57.57,F,33.5623,-112.0559,1312922,Contractor,1325385146,32.635757,-112.19588600000002,0
